"SKU FA","FA","SKU ACOES","NATUREZA ACAO","ACAO DE GOVERNO","ANO","DESPESAS PAGAS (CONTROLE EMPENHO)"
4,"MARINHA","123I","SUBMARINO CONVENCIONAL","CONSTRUCAO DE SUBMARINOS CONVENCIONAIS",2019,386057205.23
4,"MARINHA","123I","SUBMARINO CONVENCIONAL","CONSTRUCAO DE SUBMARINOS CONVENCIONAIS",2018,842890427.64
4,"MARINHA","14T7","DESENVOLVIMENTO TECNOLOGICO","DESENVOLVIMENTO DE SISTEMAS DE TECNOLOGIA NUCLEAR DA MARINHA",2022,266499556.06
4,"MARINHA","14T7","DESENVOLVIMENTO TECNOLOGICO","DESENVOLVIMENTO DE SISTEMAS DE TECNOLOGIA NUCLEAR DA MARINHA",2021,122686021.09
4,"MARINHA","14T7","DESENVOLVIMENTO TECNOLOGICO","DESENVOLVIMENTO DE SISTEMAS DE TECNOLOGIA NUCLEAR DA MARINHA",2020,77697309.88
4,"MARINHA","14T7","DESENVOLVIMENTO TECNOLOGICO","DESENVOLVIMENTO DE SISTEMAS DE TECNOLOGIA NUCLEAR DA MARINHA",2019,68744246.93
4,"MARINHA","14T7","DESENVOLVIMENTO TECNOLOGICO","DESENVOLVIMENTO DE SISTEMAS DE TECNOLOGIA NUCLEAR DA MARINHA",2018,132009172.88
4,"MARINHA","1N47","CONSTRUCAO NAVIOS","CONSTRUCAO DE NAVIOS-PATRULHA DE 500 TONELADAS (NPA 500T) -",2022,18965000.03
4,"MARINHA","1N47","CONSTRUCAO NAVIOS","CONSTRUCAO DE NAVIOS-PATRULHA DE 500 TONELADAS (NPA 500T) -",2021,6261793.04
4,"MARINHA","1N47","CONSTRUCAO NAVIOS","CONSTRUCAO DE NAVIOS-PATRULHA DE 500 TONELADAS (NPA 500T) -",2020,15697298.94
4,"MARINHA","1N47","CONSTRUCAO NAVIOS","CONSTRUCAO DE NAVIOS-PATRULHA DE 500 TONELADAS (NPA 500T) -",2018,126376.32
4,"MARINHA","1N56","DESENVOLVIMENTO MISSIL","DESENVOLVIMENTO DE MISSIL NACIONAL ANTINAVIO",2022,5675775.82
4,"MARINHA","1N56","DESENVOLVIMENTO MISSIL","DESENVOLVIMENTO DE MISSIL NACIONAL ANTINAVIO",2020,22005845.25
4,"MARINHA","1N56","DESENVOLVIMENTO MISSIL","DESENVOLVIMENTO DE MISSIL NACIONAL ANTINAVIO",2019,19296512.44
4,"MARINHA","1N56","DESENVOLVIMENTO MISSIL","DESENVOLVIMENTO DE MISSIL NACIONAL ANTINAVIO",2018,24845753.63
1,"DEFESA","123J","AQUISICAO HELICOPTEROS","AQUISICAO DE HELICOPTEROS PARA EMPREGO DAS FORCAS ARMADAS",2022,260860711.13
1,"DEFESA","123J","AQUISICAO HELICOPTEROS","AQUISICAO DE HELICOPTEROS PARA EMPREGO DAS FORCAS ARMADAS",2021,186357658.04
1,"DEFESA","123J","AQUISICAO HELICOPTEROS","AQUISICAO DE HELICOPTEROS PARA EMPREGO DAS FORCAS ARMADAS",2020,311988599.12
1,"DEFESA","123J","AQUISICAO HELICOPTEROS","AQUISICAO DE HELICOPTEROS PARA EMPREGO DAS FORCAS ARMADAS",2019,336870224.68
1,"DEFESA","123J","AQUISICAO HELICOPTEROS","AQUISICAO DE HELICOPTEROS PARA EMPREGO DAS FORCAS ARMADAS",2018,589227744.57
1,"DEFESA","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2022,9307420.8
1,"DEFESA","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2021,7649517.82
1,"DEFESA","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2020,1302000.78
1,"DEFESA","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2019,2731272.66
1,"DEFESA","147F","DEFESA CIBERNETICA","IMPLANTACAO DE SISTEMA DE DEFESA CIBERNETICA PARA A DEFESA NACIONAL",2018,3964015.51
1,"DEFESA","151S","INFRAESTRUTURA","IMPLANTACAO DA INFRAESTRUTURA PARA O PROGRAMA ESTRATEGICO DE DEFESA",2022,673997.48
1,"DEFESA","151S","INFRAESTRUTURA","IMPLANTACAO DA INFRAESTRUTURA PARA O PROGRAMA ESTRATEGICO DE DEFESA",2021,357637.64
1,"DEFESA","151S","INFRAESTRUTURA","IMPLANTACAO DA INFRAESTRUTURA PARA O PROGRAMA ESTRATEGICO DE DEFESA",2020,170047.3
1,"DEFESA","151S","INFRAESTRUTURA","IMPLANTACAO DA INFRAESTRUTURA PARA O PROGRAMA ESTRATEGICO DE DEFESA",2019,920386.79
1,"DEFESA","151S","INFRAESTRUTURA","IMPLANTACAO DA INFRAESTRUTURA PARA O PROGRAMA ESTRATEGICO DE DEFESA",2018,3260795.24
1,"DEFESA","15LR","DESENVOLVIMENTO TECNOLOGICO","IMPLANTACAO DA GEOINFORMACAO DE DEFESA - GEODEF",2022,394377.51
1,"DEFESA","15LR","DESENVOLVIMENTO TECNOLOGICO","IMPLANTACAO DA GEOINFORMACAO DE DEFESA - GEODEF",2021,312551.26
1,"DEFESA","15LR","DESENVOLVIMENTO TECNOLOGICO","IMPLANTACAO DA GEOINFORMACAO DE DEFESA - GEODEF",2020,570049.95
1,"DEFESA","15LR","DESENVOLVIMENTO TECNOLOGICO","IMPLANTACAO DA GEOINFORMACAO DE DEFESA - GEODEF",2019,463412.27
1,"DEFESA","15LR","DESENVOLVIMENTO TECNOLOGICO","IMPLANTACAO DA GEOINFORMACAO DE DEFESA - GEODEF",2018,455582.31
1,"DEFESA","15W4","AQUISICAO HELICOPTEROS LEVES","AQUISICAO DE HELICOPTEROS LEVES (PROJETO TH-X)",2022,84007253.63
